Código,Descrição,Classificação Fiscal,EAN (Unidade),EAN (Display),EAN  (Caixa),Cod,Grupo,Cod,Familia,Linha
12350533,ALPINO Achocolatado Po NPro 6x1kg BR    ,1806.90.00EX01  ,7891000251355,,7891000251362,526,06-NP Standard,1,06a-Achoc Po,Food
12351872,NESTLE Cob Choc Leite NPro 6x2 1kg BR   ,1806.20.00      ,7891000251805,,7891000251812,522,02-NP Chocolates,1,02a-Cobertura Regular,Food
12351873,NESTLE Cob Choc Marfim NPro 6x2 1 kg BR ,1704.90.10      ,7891000251782,,7891000251799,522,02-NP Chocolates,1,02a-Cobertura Regular,Food
12351874,NESTLE Cob Choc Mamgo NPro 6x2 1 kg BR  ,1806.20.00      ,7891000251768,,7891000251775,522,02-NP Chocolates,1,02a-Cobertura Regular,Food
12351875,NESTLE Cob Choc Blend NPro 6x2 1kg BR   ,1806.20.00      ,7891000251744,,7891000251751,522,02-NP Chocolates,1,02a-Cobertura Regular,Food
12377123,CHEF em Po Roti Carne 6x600g NPro BR    ,2106.90.90      ,7891000258873,,7891000258880,523,03-NP Culinários,6,03b-CHEF,Food
12383770,NESTLE Rech Torta 6x600g NPro BR        ,2106.90.29      ,7891000261651,,7891000261668,524,04-NP Sobremesas,1,04a-Docello,Food
12383806,NESTLE Chocbra Mse 8x500g NPro BR       ,2106.90.29      ,7891000261699,,7891000261705,524,04-NP Sobremesas,1,04a-Docello,Food
12392572,KIT KAT Pasta 6x2 1kg NPro BR           ,1806.20.00      ,7891000275184,,7891000275191,522,02-NP Chocolates,5,02e-Ganache,Food
12411620,MOCA Rech Cob Churros NPro 6x2 6kg BR   ,1901.90.90      ,7891000286524,,7891000286531,521,01-NP Lácteos,1,01a-Top Lácteos,Food
12411621,MOCA Rech Cob Choc Avl NPro 6x2 6kg BR  ,1806.20.00      ,7891000286562,,7891000286579,521,01-NP Lácteos,1,01a-Top Lácteos,Food
411201,NESTLE Creme de Leite Lata 48x300g BR   ,0401.50.29      ,7891000120101,,17891000012014,114,LEITES CULINARIOS,98,CREME LATA,Nestlé
