Empresa,Código,Descrição,Classificação Fiscal,EAN (Unidade),EAN (Display),EAN  (Caixa),Cod,Grupo,Cod,Familia,Cadastras
NESTLE,411541,MOCA Doce de Leite 48x390g BR           ,1901.90.20      ,7891000154106,,17891000015411,114,LEITES CULINARIOS,101,MOCA DOCE DE LEITE,Sim
NESTLE,411558,MOCA Fiesta Brigadeiro 24x385g BR       ,1901.90.90      ,7891000155806,,17891000015589,,,,,Não
NESTLE,411559,MOCA FIESTA Beijinho 24x365g BR         ,1901.90.90      ,7891000155905,,17891000015596,,,,,Não
NESTLE,411562,MOCA Fiesta Cob Chocolate 24x380g BR    ,1901.90.90      ,7891000156209,,17891000015626,,,,,Não
NESTLE,411583,NESTUM PBIO1 Trg Mel e Hojuela 24x200gXW,1901.10.90      ,7891000013427,,7891000013434,,,,,Não
NESTLE,411605,NESTUMPBIO1 TgoMel c Choc Crcte24x200gXW,1901.10.90      ,7891000013465,,7891000013472,,,,,Não
NESTLE,411626,PASSATEMPO Ovo de Pascoa 15x220g BR     ,1806.90.00      ,7891000009260,,17891000007546,,,,,Não
NESTLE,411680,NESTLE Confeicrem NPro 2x5kg BR         ,2106.90.90      ,7891000168004,,17891000016807,,,,,Não
NESTLE,411686,NESTLE Calda Choc Mamgo NPro 5x3kg BR   ,1806.20.00      ,7891000168608,,17891000016869,524,04-NP Sobremesas,2,04b-Demais Sobremesas,Sim
NESTLE,411694,NESCAU ACTIGEN-E Achoc Po 30x400g XW    ,1806.90.00EX01  ,7891000009437,,17891000007683,104,BEBIDAS POS,16,NESCAU LATA 2.0 400G,Não
NESTLE,412040,NAN AR Formula Infantil 24x450g XW      ,1901.10.10      ,7891000005057,,17891000004101,,,,,Não
NESTLE,412041,NAN 1 Formula Infantil 24x450g XW       ,1901.10.10      ,7790430020381,,37790430020382,,,,,Não
NESTLE,412044,NAN 2 Formula Infantil 12x1kg XW        ,1901.10.10      ,7790430020411,,17790430020418,,,,,Não
NESTLE,412046,NESTLE SweetenedCondensedMilk 48x395g XV,0402.99.00      ,7891000009765,,17891000007973,,,,,Não
NESTLE,412168,NESQUIK ACTIGEN-E Achoc Po 24x400g XP   ,1806.90.00EX01  ,7891000010228,,17891000008406,,,,,Não
NESTLE,412169,NESQUIK ACTIGEN-E Achoc Po 48x200g BR   ,1806.90.00EX01  ,7891000010235,,17891000008413,,,,,Não
NESTLE,412227,MAGGI Pure de Batatas NPro 6x400g XW    ,1105.20.00      ,7891000010440,,17891000008611,523,03-NP Culinários,5,03e-MAGGI Meals,Sim
NESTLE,412234,NESTLE Cob Chocolate Diet NPro 500g XR  ,1806.32.10      ,7891000010433,,17891000008604,522,02-NP Chocolates,2,02b-Cobertura Nobre,Sim
NESTLE,412240,NESTOGENO 1 Formula Infantil 24x450g XW ,1901.10.10      ,7891000005064,,17891000004118,,,,,Não
NESTLE,412241,NESTOGENO 2 Formula Infantil 24x450g XW ,1901.10.10      ,7891000005071,,17891000004125,,,,,Não
NESTLE,412244,NIDAL Formula Lactea 12x1 1kg XW        ,1901.10.10      ,7891000006078,,17891000005009,,,,,Não
NESTLE,412246,NIDAL Formula Infantil 24x450g XR       ,1901.10.10      ,7891000006085,,17891000005016,,,,,Não
NESTLE,412247,NIDINA 2 Formula Infantil 12x1kg XR     ,1901.10.10      ,7790430020909,,7790430120906,,,,,Não
NESTLE,412294,NESTLE Cream 48x160g XX                 ,0401.50.29      ,7616100101702,,17891000008802,,,,,Não
NESTLE,412329,NESQUIK Fresa 24x200g XW                ,1702.90.00      ,7891000013922,,7891000013939,,,,,Não
NESTLE,412336,NESQUIK Morango 24x400g XU              ,1702.90.00      ,7891000010754,,17891000008758,,,,,Não
NESTLE,412340,NUTREN ACTIVE PBIO1 Baunilha 12x400g BR ,1901.90.90      ,7891000234006,,17891000003692,112,HEALTH SCIENCE,77,NUTREN ACTIVE,Sim
NESTLE,412341,NUTREN ACTIVE PBIO1 Chocolate 12x400g BR,2106.90.30      ,7891000234105,,17891000003708,112,HEALTH SCIENCE,77,NUTREN ACTIVE,Sim
